,Born,Birth place,Died,Place of Death,Notable Works,Subjects Of Study,Philosophers
113,1842,Germany,1918,Germany,,Judaism,Hermann Cohen
114,1821,Germany,1894,Germany,"“On The Sensation Of Tone As A Physiological Basis For The Theory Of Music”, “Handbook Of Physiological Optics”","Electricity, Sound, Wave, Non-Euclidean Geometry, Conservation Of Energy",Hermann von Helmholtz
115,1022,Spain,1070,Spain,,Neoplatonism,Ibn Gabirol
116,1724,Prussia,1804,Prussia,"“Critique Of Practical Reason”, “Critique Of Pure Reason”, “Critique Of Judgment”","Political Philosophy, Immortality, Existence Of God, Teleology, Category",Immanuel Kant
117,1809,Germany,1884,Germany,,"Protestantism, Kantianism",Isaak August Dorner
118,1627,Japan,1705,Japan,,Kogaku,Ito Jinsai
119,1822,Netherlands,1893,Italy,,"Thought, Emotion",Jacob Moleschott
120,1930,Algeria,2004,France,,"Metaphysics, Deconstruction, Philosophy",Jacques Derrida
121,1882,France,1973,France,,"Thomas Aquinas, Saint",Jacques Maritain
122,1810,Spain,1848,Spain,,Roman Catholicism,Jaime Luciano Balmes
123,1575,Germany,1624,Germany,,"Mysticism, Alchemy, Paracelsus, Dialectic, Free Will",Jakob Bohme
124,1808,Scotland,1864,Scotland,,Agnoiology,James Frederick Ferrier
125,1904,Ithaca,1979,York,“The Perception Of The Visual World”,"Perception, “The Perception Of The Visual World”",James J. Gibson
126,1861,Carolina,1934,France,,Individual Difference,James Mark Baldwin
127,1805,England,1900,England,,"Unitarianism, Authority, Religion, Conscience",James Martineau
128,1929,France,2007,France,,"Simulacrum, Hyperreality",Jean Baudrillard
129,1712,Switzerland,1778,France,"“Emile: Or, On Education”, “Julie; Or, The New Eloise”, “Rousseau Juge De Jean-Jacques”, “The Reveries Of A Solitary Walker”, “The Profession Of Faith Of A Savoyard Vicar”, “Letter To Monsieur D’Alembert On The Theatre”, “Confessions”, “The Cunning-Man”, “Letters Written From The Mountain”, “A Discourse On The Sciences And The Arts”","Cultural Evolution, General Will",Jean-Jacques Rousseau
130,1905,France,1980,France,"“No Exit”, “Nausea”, “Flaubert”, “Existentialism Is A Humanism”, “Critique Of Dialectical Reason”, “The Flies”, “The Words”, “Saint Genet, Actor And Martyr”, “Search For A Method”, “Le Fantôme De Staline”","Marxism, Existentialism, Phenomenology, Gustave Flaubert, Littérature Engagée",Jean-Paul Sartre
131,1748,England,1832,England,,"Utility, Law",Jeremy Bentham
132,1898,Germany,1955,Switzerland,,"Sociology, Phenomenology Of Religion, Religion, Comparative Religion",Joachim Wach
133,1762,Germany,1814,Germany,,"Germany, Secondary Education, Elementary Education, Ego, Practical Reason",Johann Gottlieb Fichte
134,1728,Alsace,1777,Germany,"“Neues Organon”, “Die Theorie Der Parallellinien”","Light, Measurement, Pi, Hyperbolic Functions, Irrational Number",Johann Heinrich Lambert
